# Chandra SNR Catalog
# https://hea-www.harvard.edu/ChandraSNR/snrcat_gal.html
Name	Common Name	Position	X-ray Size (arcmin)	Distance
G320.4-01.2	G320.4-1.2	15 13 45.8 -59 04 43.7	18'x11'	4.2
G326.3-01.8	MSH 15-56	15 52 60.0 -56 10 00.0	40'x36'	4
G327.1-01.1		15 54 29.7 -55 04 27.6	14'x8'	9
G327.3+00.4	Kes 27	15 48 40.2 -53 47 31.2	11'x15'	4
G327.6+14.6	SN 1006-NE	15 02 55.2 -41 56 11.4	32'x28'	1.6
G330.2+01.0	G330.2+1.0	16 01 00.9 -51 34 03.4	10'x12'	8
G332.4+00.1	Kes 32	16 15 11.8 -50 42 21.1	12'x12'	8
G332.4-00.2	PSR J1617-5055	16 17 29.4 -50 55 12.8	point source	6
G332.4-00.4	RCW 103	16 17 36.5 -51 02 41.2	9.3'x8.9'	3.3
G336.9-00.1	SGR 1627-41	16 35 51.8 -47 35 23.5	point source	8
G337.2-00.7		16 39 31.0 -47 49 40.1	3.9x4.6	8
G338.3-00.0	G338.3-0.0	16 40 43.5 -46 31 35.2	2'x2'	10
G340.6+00.3	G340.6+0.3	16 47 38.4 -44 34 23.5	5.1'x5.1'	15
G343.0-02.6	PSR B1706-44	17 09 42.7 -44 29 08.6	3'x3'	3
G344.7-00.1	G344.7-0.1	17 03 58.5 -41 43 05.3	6'x6'	14
G347.3-00.5W	G347.3-0.5 west limb	17 13 30.0 -39 46 12.0	58'x50'	6
G347.3-00.5C	G347.3-0.5 center	17 13 30.0 -39 46 12.0	58'x50'	6
G347.3-00.5E	G347.3-0.5 east limb	17 13 30.0 -39 46 12.0	58'x50'	6
G348.5+00.1	CTB 37A	17 14 33.3 -38 31 25.6	10'x7'	11
G348.7+00.3	CTB 37B	17 14 04.4 -38 12 57.5	6'x8'	10
G349.7+00.2		17 17 59.6 -37 26 21.3	2.4'x2.4'	22
G349.8+00.2	PSR J1718-3718	17 18 09.8 -37 18 51.6	point source	5
G350.1-00.3	G350.1-0.3	17 21 02.1 -37 26 45.2	4.3'x3.3'	4.5
G352.7-00.1	G352.7-0.1	17 27 37.0 -35 07 01.4	5'x5'	8
G357.6-00.0	The Tornado	17 40 11.0 -30 58 00.0	1'x2'	12
G359.2-00.8	The Mouse	17 47 15.9 -29 58 01.7	0.2'x0.5'	5
